timestamp,accelerometer,geophone,seismometer,moisture_sensor,piezometer,crack_sensor,inclinometer,extensometer,rain_sensor_mmhr,temperature_celsius,humidity_percent,label
2025-09-11T14:36:37.144832,10.0,17.1692,5.0,100.0,107.1853,0.0994,0.0514,0.1994,0.02,14.7,59.57,0
2025-09-11T14:36:37.818550,10.0,20.0,5.0,44.3101,10.793,0.1006,0.0513,0.2006,0.11,15.05,62.62,0
2025-09-11T14:36:38.083227,-10.0,-20.0,-5.0,100.0,255.9733,0.0985,0.0483,0.207,0.02,15.42,63.18,0
2025-09-11T14:36:38.389084,9.44764,11.3356,5.0,0.0,0.0,0.1055,0.0497,0.1939,0.08,14.64,58.79,0
2025-09-11T14:36:38.688829,10.0,20.0,5.0,0.0,0.0,0.0931,0.0485,0.2035,0.02,15.04,60.1,0
2025-09-11T14:36:38.963264,-10.0,-20.0,-5.0,0.0,0.0,0.1023,0.0487,0.2036,0.05,15.27,58.88,0
2025-09-11T14:36:39.220498,6.69784,8.00773,5.0,100.0,53.047,0.0996,0.0488,0.189,0.11,15.42,58.46,0
2025-09-11T14:36:39.481673,10.0,20.0,5.0,100.0,269.6844,0.0912,0.0517,0.2009,0.04,15.38,58.56,0
2025-09-11T14:36:39.756724,-10.0,-20.0,-5.0,100.0,70.0434,0.0912,0.0527,0.1962,0.11,15.04,59.78,0
2025-09-11T14:36:40.016551,-10.0,-20.0,-5.0,100.0,31.4237,0.1066,0.0513,0.217,0.02,15.09,60.27,0
2025-09-11T14:36:40.260925,10.0,20.0,5.0,0.0,0.0,0.0984,0.0503,0.1878,0.19,15.45,60.19,0
2025-09-11T14:36:40.523061,-10.0,-20.0,-5.0,0.0,0.0,0.0994,0.0485,0.1991,0.02,14.8,60.87,0
2025-09-11T14:36:40.771783,10.0,20.0,5.0,0.0,0.0,0.0995,0.0524,0.2048,0.06,15.4,58.23,0
2025-09-11T14:36:41.024695,10.0,20.0,5.0,0.0,0.0,0.0948,0.0466,0.1979,0.0,14.98,60.34,0
2025-09-11T14:36:41.288279,10.0,20.0,5.0,0.0,0.0,0.1021,0.0485,0.2096,0.02,15.15,59.23,0
2025-09-11T14:36:41.544113,10.0,20.0,5.0,100.0,44.9622,0.1002,0.0516,0.2041,0.05,15.15,58.48,0
2025-09-11T14:36:41.835742,10.0,20.0,5.0,0.0,0.0,0.0996,0.0487,0.1938,0.09,15.61,58.98,0
2025-09-11T14:36:42.133990,10.0,20.0,5.0,0.0,0.0,0.0997,0.0488,0.1981,0.01,14.91,58.93,0
2025-09-11T14:36:42.403950,3.24097,3.91908,2.60515,100.0,56.1463,0.1033,0.0506,0.1983,0.19,14.88,57.95,0
2025-09-11T14:36:42.669078,-10.0,-20.0,-5.0,0.0,0.0,0.0976,0.0503,0.2021,0.08,14.69,60.65,0
2025-09-11T14:36:42.939298,-10.0,-20.0,-5.0,0.0,0.0,0.1041,0.0512,0.1947,0.04,15.34,58.0,0
2025-09-11T14:36:43.214167,-10.0,-20.0,-5.0,100.0,341.1261,0.1017,0.0519,0.1975,0.11,15.73,62.36,0
2025-09-11T14:36:43.467580,-10.0,-20.0,-5.0,100.0,77.0276,0.1087,0.0483,0.2029,0.08,15.2,61.8,0
2025-09-11T14:36:43.712274,9.40408,11.24839,5.0,0.0,0.0,0.1018,0.0505,0.1946,0.19,15.26,59.91,0
